ProductBenefitRecommendedSIID,ProductCode,BenefitCode,Age,RecommendedSI,dtmCreated,CreatedBy,dtmUpdated,UpdatedBy,dtmValidFrom,dtmValidTo
61,GFI,DTH,78,7000,50:23.4,System02,45:43.8,System02,00:00.0,44:43.8
62,GFI,DTH,79,7000,50:23.4,System02,45:43.8,System02,00:00.0,44:43.8
63,GLF,DTH,18,15000,50:23.4,System02,45:43.9,System02,00:00.0,44:43.9
64,GLF,DTH,19,15000,50:23.4,System02,45:43.9,System02,00:00.0,44:43.9
65,GLF,DTH,20,15000,50:23.4,System02,45:43.9,System02,00:00.0,44:43.9
66,GLF,DTH,21,15000,50:23.4,System02,45:43.9,System02,00:00.0,44:43.9
67,GLF,DTH,22,15000,50:23.4,System02,45:43.9,System02,00:00.0,44:43.9
68,GLF,DTH,23,15000,50:23.4,System02,45:44.0,System02,00:00.0,44:44.0
69,GLF,DTH,24,15000,50:23.4,System02,45:44.0,System02,00:00.0,44:44.0
70,GLF,DTH,25,15000,50:23.4,System02,45:44.0,System02,00:00.0,44:44.0
71,GLF,DTH,26,15000,50:23.4,System02,45:44.0,System02,00:00.0,44:44.0
72,GLF,DTH,27,15000,50:23.4,System02,45:44.0,System02,00:00.0,44:44.0
73,GLF,DTH,28,15000,50:23.4,System02,45:44.1,System02,00:00.0,44:44.1
74,GLF,DTH,29,15000,50:23.4,System02,45:44.1,System02,00:00.0,44:44.1
75,GLF,DTH,30,15000,50:23.4,System02,45:44.1,System02,00:00.0,44:44.1
76,GLF,DTH,31,15000,50:23.4,System02,45:44.1,System02,00:00.0,44:44.1
77,GLF,DTH,32,15000,50:23.4,System02,45:44.1,System02,00:00.0,44:44.1
78,GLF,DTH,33,15000,50:23.4,System02,45:44.2,System02,00:00.0,44:44.2
79,GLF,DTH,34,15000,50:23.4,System02,45:44.2,System02,00:00.0,44:44.2
80,GLF,DTH,35,15000,50:23.4,System02,45:44.2,System02,00:00.0,44:44.2
81,GLF,DTH,36,15000,50:23.4,System02,45:44.2,System02,00:00.0,44:44.2
82,GLF,DTH,37,15000,50:23.4,System02,45:44.2,System02,00:00.0,44:44.2
83,GLF,DTH,38,15000,50:23.4,System02,45:44.2,System02,00:00.0,44:44.2
84,GLF,DTH,39,15000,50:23.4,System02,45:44.3,System02,00:00.0,44:44.3
85,GLF,DTH,40,15000,50:23.4,System02,45:44.3,System02,00:00.0,44:44.3
86,GLF,DTH,41,15000,50:23.4,System02,45:44.3,System02,00:00.0,44:44.3
87,GLF,DTH,42,15000,50:23.4,System02,45:44.3,System02,00:00.0,44:44.3
88,GLF,DTH,43,15000,50:23.4,System02,45:44.3,System02,00:00.0,44:44.3
89,GLF,DTH,44,15000,50:23.4,System02,45:44.4,System02,00:00.0,44:44.4
90,GLF,DTH,45,15000,50:23.4,System02,45:44.4,System02,00:00.0,44:44.4
91,GLF,DTH,46,14000,50:23.4,System02,45:44.4,System02,00:00.0,44:44.4
92,GLF,DTH,47,14000,50:23.4,System02,45:44.4,System02,00:00.0,44:44.4
93,GLF,DTH,48,14000,50:23.4,System02,45:44.4,System02,00:00.0,44:44.4
94,GLF,DTH,49,14000,50:23.4,System02,45:44.5,System02,00:00.0,44:44.5
95,GLF,DTH,50,14000,50:23.4,System02,45:44.5,System02,00:00.0,44:44.5
96,GLF,DTH,51,13000,50:23.4,System02,45:44.5,System02,00:00.0,44:44.5
97,GLF,DTH,52,13000,50:23.4,System02,45:44.5,System02,00:00.0,44:44.5
98,GLF,DTH,53,13000,50:23.4,System02,45:44.5,System02,00:00.0,44:44.5
99,GLF,DTH,54,13000,50:23.4,System02,45:44.6,System02,00:00.0,44:44.6
100,GLF,DTH,55,13000,50:23.4,System02,45:44.6,System02,00:00.0,44:44.6
101,GLF,DTH,56,11000,50:23.4,System02,45:44.6,System02,00:00.0,44:44.6
102,GLF,DTH,57,11000,50:23.4,System02,45:44.6,System02,00:00.0,44:44.6
103,GLF,DTH,58,11000,50:23.4,System02,45:44.6,System02,00:00.0,44:44.6
104,GLF,DTH,59,11000,50:23.4,System02,45:44.7,System02,00:00.0,44:44.7
105,GLF,DTH,60,11000,50:23.4,System02,45:44.7,System02,00:00.0,44:44.7
106,GLF,DTH,61,10000,50:23.4,System02,45:44.7,System02,00:00.0,44:44.7
107,GLF,DTH,62,10000,50:23.4,System02,45:44.7,System02,00:00.0,44:44.7
108,GLF,DTH,63,10000,50:23.4,System02,45:44.7,System02,00:00.0,44:44.7
109,GLF,DTH,64,10000,50:23.4,System02,45:44.8,System02,00:00.0,44:44.8
110,GLF,DTH,65,10000,50:23.4,System02,45:44.8,System02,00:00.0,44:44.8
111,GLF,DTH,66,9000,50:23.4,System02,45:44.8,System02,00:00.0,44:44.8
112,GLF,DTH,67,9000,50:23.4,System02,45:44.8,System02,00:00.0,44:44.8
113,GLF,DTH,68,9000,50:23.4,System02,45:44.8,System02,00:00.0,44:44.8
114,GLF,DTH,69,9000,50:23.4,System02,45:44.9,System02,00:00.0,44:44.9
115,GLF,DTH,70,9000,50:23.4,System02,45:44.9,System02,00:00.0,44:44.9
116,GLF,DTH,71,8000,50:23.4,System02,45:44.9,System02,00:00.0,44:44.9
117,GLF,DTH,72,8000,50:23.4,System02,45:44.9,System02,00:00.0,44:44.9
118,GLF,DTH,73,8000,50:23.4,System02,45:44.9,System02,00:00.0,44:44.9
119,GLF,DTH,74,8000,50:23.4,System02,45:45.0,System02,00:00.0,44:45.0
120,GLF,DTH,75,8000,50:23.4,System02,45:45.0,System02,00:00.0,44:45.0
121,GLF,DTH,76,7000,50:23.4,System02,45:45.0,System02,00:00.0,44:45.0
122,GLF,DTH,77,7000,50:23.4,System02,45:45.0,System02,00:00.0,44:45.0
123,GLF,DTH,78,7000,50:23.4,System02,45:45.0,System02,00:00.0,44:45.0
124,GLF,DTH,79,7000,50:23.4,System02,45:45.1,System02,00:00.0,44:45.1
125,GSA,ACI,18,400000,50:23.4,System02,45:45.1,System02,00:00.0,44:45.1
126,GSA,ACI,19,400000,50:23.4,System02,45:45.1,System02,00:00.0,44:45.1
127,GSA,ACI,20,400000,50:23.4,System02,45:45.1,System02,00:00.0,44:45.1
128,GSA,ACI,21,400000,50:23.4,System02,45:45.1,System02,00:00.0,44:45.2
129,GSA,ACI,22,400000,50:23.4,System02,45:45.2,System02,00:00.0,44:45.2
130,GSA,ACI,23,400000,50:23.5,System02,45:45.2,System02,00:00.0,44:45.2
131,GSA,ACI,24,400000,50:23.5,System02,45:45.2,System02,00:00.0,44:45.2
132,GSA,ACI,25,400000,50:23.5,System02,45:45.2,System02,00:00.0,44:45.2
133,GSA,ACI,26,400000,50:23.5,System02,45:45.3,System02,00:00.0,44:45.3
134,GSA,ACI,27,400000,50:23.5,System02,45:45.3,System02,00:00.0,44:45.3
135,GSA,ACI,28,400000,50:23.5,System02,45:45.3,System02,00:00.0,44:45.3
136,GSA,ACI,29,400000,50:23.5,System02,45:45.3,System02,00:00.0,44:45.3
137,GSA,ACI,30,400000,50:23.5,System02,45:45.3,System02,00:00.0,44:45.3
138,GSA,ACI,31,400000,50:23.5,System02,45:45.4,System02,00:00.0,44:45.4
139,GSA,ACI,32,400000,50:23.5,System02,45:45.4,System02,00:00.0,44:45.4
140,GSA,ACI,33,400000,50:23.5,System02,45:45.4,System02,00:00.0,44:45.4
141,GSA,ACI,34,400000,50:23.5,System02,45:45.4,System02,00:00.0,44:45.4
142,GSA,ACI,35,400000,50:23.5,System02,45:45.4,System02,00:00.0,44:45.4
143,GSA,ACI,36,400000,50:23.5,System02,45:45.5,System02,00:00.0,44:45.5
144,GSA,ACI,37,400000,50:23.5,System02,45:45.5,System02,00:00.0,44:45.5
145,GSA,ACI,38,400000,50:23.5,System02,45:45.5,System02,00:00.0,44:45.5
146,GSA,ACI,39,400000,50:23.5,System02,45:45.5,System02,00:00.0,44:45.5
147,GSA,ACI,40,400000,50:23.5,System02,45:45.5,System02,00:00.0,44:45.5
